"trabalho" "NODF" "pNODF" "H2" "pH2" "Q" "pQ"
1 -1.75763970711317 0.0749250749250749 -9.63038158931705 0.000999000999000999 0.262933935338391 0.808191808191808
2 -2.56836646416125 0.00999000999000999 -5.33060834692822 0.000999000999000999 0.900595677361321 0.360639360639361
3 -2.06271169580218 0.0539460539460539 1.08459262206614 0.268731268731269 10.3858467689875 0.000999000999000999
4 0.541395876440853 0.642357642357642 2.93980934538428 0.004995004995005 0.303840001664896 0.673326673326673
5 -0.550026435428584 0.599400599400599 1.23492840462397 0.211788211788212 0.683002132351781 0.61038961038961
6 -7.6315438817239 0.000999000999000999 6.60009884129158 0.000999000999000999 -0.264668416915211 0.801198801198801
7 -0.405198997181514 0.83016983016983 -0.774731797282391 0.497502497502497 0.226329782662028 0.743256743256743
8 -3.08673876673243 0.00799200799200799 4.52378422775799 0.000999000999000999 -0.355454565257402 0.711288711288711
9 -1.20965145171492 0.210789210789211 0.0040466555761574 0.999000999000999 -0.0110273196400081 1
10 -0.0733778872387821 0.945054945054945 -0.733707296383759 0.472527472527473 5.95341630615491 0.000999000999000999
11 -1.22051888132034 0.200799200799201 0.194662329971742 0.849150849150849 -0.644958167768452 0.606393606393606
12 -2.90450853421657 0.004995004995005 5.19318155611471 0.000999000999000999 5.68737815774712 0.000999000999000999
13 1.09385878460157 0.285714285714286 3.05789414580869 0.004995004995005 -0.994379628544271 0.335664335664336
14 -1.51763444176698 0.127872127872128 -2.61418547285116 0.010989010989011 0.967055331188556 0.311688311688312
15 0.806547146541274 0.41958041958042 3.40792123316019 0.002997002997003 2.78572697275461 0.00699300699300699
16 -3.72219043484497 0.002997002997003 2.76250722473012 0.00599400599400599 2.47078545794763 0.014985014985015
17 -1.1829585265829 0.225774225774226 -2.31389120286058 0.020979020979021 3.00431827468154 0.001998001998002
18 0.231129973686784 0.816183816183816 -0.549296585277582 0.568431568431568 2.37562096048072 0.018981018981019
19 0.629195422398782 0.531468531468531 -2.92916510490264 0.002997002997003 4.8279030275811 0.000999000999000999
20 -0.67736586611881 0.519480519480519 3.35374709936136 0.002997002997003 -0.856812712811915 0.390609390609391
21 -0.58967800806734 0.521478521478521 -3.26872077140877 0.001998001998002 -1.88966711683947 0.0649350649350649
22 -0.727465723474099 0.458541458541459 2.61553773389881 0.014985014985015 1.43646668940439 0.156843156843157
23 -2.34773367425955 0.023976023976024 1.07702877097774 0.294705294705295 -0.0168242315542141 0.989010989010989
24 -3.20511452990561 0.00799200799200799 -1.98919550686912 0.041958041958042 2.30928641292784 0.025974025974026
25 -0.915140908043694 0.357642357642358 -1.42537244521843 0.151848151848152 0.589671597864528 0.567432567432567
26 -3.55228594227568 0.00899100899100899 1.09260345168616 0.272727272727273 2.87585797303088 0.00899100899100899
27 -1.39574363439829 0.162837162837163 2.39828972019133 0.020979020979021 2.47246412520435 0.013986013986014
28 -1.14671004905957 0.132867132867133 -3.64207609086922 0.000999000999000999 1.72702133858916 0.0549450549450549
29 0.94728618880626 0.337662337662338 -4.79582552263119 0.000999000999000999 0.465260889989127 0.661338661338661
30 1.09109874460696 0.251748251748252 -3.2313681632875 0.000999000999000999 0.128623511443417 0.903096903096903
31 0.136669866746947 0.962037962037962 1.73712907376097 0.0759240759240759 1.02498261412901 0.317682317682318
32 -0.775708177246754 0.442557442557443 5.12424947540956 0.000999000999000999 6.8545459226385 0.000999000999000999
33 0.145264749075354 0.877122877122877 -10.1357287165465 0.000999000999000999 2.32975355201245 0.017982017982018
34 0.218761069029526 0.88011988011988 -4.12553856317914 0.000999000999000999 -0.508393424672137 0.722277722277722
35 -0.638953795460368 0.510489510489511 1.33375315518199 0.182817182817183 3.88798562156008 0.000999000999000999
36 1.69484334147443 0.195804195804196 0.614698799878825 0.531468531468531 -1.111796806046 0.420579420579421
37 -0.413224363036053 0.676323676323676 -2.13697447908917 0.02997002997003 2.27709101670299 0.017982017982018
38 0.157461834981631 0.873126873126873 31.6069770620507 0.000999000999000999 2.27549414168427 0.033966033966034
39 -0.268410335858244 0.76023976023976 0.0174990703523632 0.985014985014985 -0.63049075686433 0.535464535464535
40 -0.397831988141004 0.708291708291708 -0.361989728522128 0.724275724275724 -0.392309063074727 0.746253746253746
41 -3.37415839570539 0.002997002997003 3.48343232162996 0.001998001998002 0.766319568943626 0.444555444555445
42 -1.26773201582337 0.194805194805195 -8.87762534025618 0.000999000999000999 1.06229061985769 0.288711288711289
43 0.0847913400884278 0.934065934065934 6.80794547867983 0.000999000999000999 3.38675659260717 0.00599400599400599
44 -4.5233009135906 0.000999000999000999 1.16212544205429 0.248751248751249 1.75029179168157 0.0769230769230769
45 -0.569582753896008 0.556443556443556 -8.38328050439677 0.000999000999000999 1.08399913508678 0.277722277722278
46 -0.489480585839551 0.637362637362637 31.6069770620507 0.000999000999000999 2.14465350675973 0.028971028971029
47 -1.00110661777462 0.304695304695305 1.84065921595193 0.0679320679320679 -0.0709932982006355 0.907092907092907
48 0.834109985453926 0.387612387612388 -0.0645215728704746 0.947052947052947 1.72071130422968 0.0829170829170829
49 0.589938074651198 0.58041958041958 31.6069770620507 0.000999000999000999 1.54278634283288 0.133866133866134
